Samples	SBS96A	SBS96B	SBS96C
SP.Syn.Abst.822	3.54E+01	3.35E+01	1.93E+01
SP.Syn.Abst.823	1.85E+01	1.92E+01	1.11E+01
SP.Syn.Abst.824	3.27E+01	3.13E+01	1.52E+01
SP.Syn.Abst.825	1.86E+01	1.87E+01	1.69E+01
SP.Syn.Abst.826	2.12E+01	2.73E+01	3.09E+01
SP.Syn.Abst.827	3.36E+01	3.10E+01	1.83E+01
SP.Syn.Abst.828	1.95E+01	2.48E+01	2.36E+01
SP.Syn.Abst.829	2.75E+01	2.93E+01	2.86E+01
SP.Syn.Abst.830	2.04E+01	1.99E+01	1.55E+01
SP.Syn.Abst.831	2.30E+01	2.43E+01	1.93E+01
SP.Syn.Abst.832	4.68E+01	6.81E+01	7.90E+01
SP.Syn.Abst.833	3.01E+01	2.67E+01	1.91E+01
SP.Syn.Abst.834	5.08E+01	4.84E+01	2.56E+01
SP.Syn.Abst.835	3.80E+01	3.92E+01	2.14E+01
SP.Syn.Abst.836	1.50E+01	1.98E+01	2.24E+01
SP.Syn.Abst.837	3.11E+01	3.01E+01	1.48E+01
SP.Syn.Abst.838	2.16E+01	2.03E+01	1.53E+01
SP.Syn.Abst.839	4.34E+01	3.92E+01	2.27E+01
SP.Syn.Abst.840	3.10E+01	2.95E+01	2.25E+01
SP.Syn.Abst.841	1.93E+01	2.87E+01	2.79E+01
SP.Syn.Abst.842	2.08E+01	2.19E+01	2.31E+01
SP.Syn.Abst.843	4.93E+01	5.13E+01	2.61E+01
SP.Syn.Abst.844	2.08E+01	2.33E+01	1.69E+01
SP.Syn.Abst.845	2.11E+01	2.16E+01	8.56E+00
SP.Syn.Abst.846	2.22E+01	3.78E+01	3.87E+01
SP.Syn.Abst.847	3.48E+01	3.54E+01	1.34E+01
SP.Syn.Abst.848	2.08E+01	1.81E+01	1.28E+01
SP.Syn.Abst.849	2.80E+01	2.85E+01	1.07E+01
SP.Syn.Abst.850	1.21E+01	1.43E+01	1.42E+01
SP.Syn.Abst.851	1.82E+01	2.24E+01	2.37E+01
SP.Syn.Abst.852	3.98E+01	4.09E+01	3.02E+01
SP.Syn.Abst.853	2.58E+01	2.58E+01	1.31E+01
SP.Syn.Abst.854	3.98E+01	4.34E+01	5.63E+01
SP.Syn.Abst.855	4.37E+01	4.15E+01	1.50E+01
SP.Syn.Abst.856	3.51E+01	3.33E+01	1.36E+01
SP.Syn.Abst.857	2.88E+01	5.32E+01	5.59E+01
SP.Syn.Abst.858	1.43E+01	2.00E+01	2.00E+01
SP.Syn.Abst.859	3.53E+01	5.69E+01	5.45E+01
SP.Syn.Abst.860	2.51E+01	4.07E+01	4.23E+01
SP.Syn.Abst.861	2.97E+01	3.30E+01	2.41E+01
SP.Syn.Abst.862	1.89E+01	2.07E+01	1.34E+01
SP.Syn.Abst.863	1.79E+01	1.95E+01	1.43E+01
SP.Syn.Abst.864	1.25E+01	1.63E+01	1.51E+01
SP.Syn.Abst.865	1.51E+01	1.79E+01	2.09E+01
SP.Syn.Abst.866	2.65E+01	2.59E+01	1.60E+01
SP.Syn.Abst.867	2.39E+01	2.59E+01	1.63E+01
SP.Syn.Abst.868	2.03E+01	2.10E+01	1.63E+01
SP.Syn.Abst.869	3.67E+01	3.13E+01	3.86E+01
SP.Syn.Abst.870	1.07E+01	1.29E+01	9.16E+00
SP.Syn.Abst.871	3.41E+01	3.02E+01	1.88E+01
SP.Syn.Abst.872	1.92E+01	2.07E+01	1.50E+01
SP.Syn.Abst.873	1.41E+01	1.75E+01	1.47E+01
SP.Syn.Abst.874	3.11E+01	2.95E+01	1.62E+01
SP.Syn.Abst.875	2.42E+01	2.30E+01	1.79E+01
SP.Syn.Abst.876	2.30E+01	2.37E+01	2.40E+01
SP.Syn.Abst.877	1.60E+01	1.55E+01	1.16E+01
SP.Syn.Abst.878	4.49E+01	3.56E+01	2.52E+01
SP.Syn.Abst.879	2.67E+01	2.57E+01	3.06E+01
SP.Syn.Abst.880	2.36E+01	2.89E+01	3.29E+01
SP.Syn.Abst.881	1.31E+01	2.01E+01	2.19E+01
SP.Syn.Abst.882	1.92E+01	3.21E+01	3.39E+01
SP.Syn.Abst.883	5.20E+01	4.62E+01	2.74E+01
SP.Syn.Abst.884	2.68E+01	2.57E+01	2.10E+01
SP.Syn.Abst.885	4.00E+01	3.66E+01	2.12E+01
SP.Syn.Abst.886	4.14E+01	3.17E+01	3.43E+01
SP.Syn.Abst.887	2.61E+01	2.53E+01	1.44E+01
SP.Syn.Abst.888	4.02E+01	3.46E+01	2.56E+01
SP.Syn.Abst.889	1.64E+01	1.97E+01	1.99E+01
SP.Syn.Abst.890	2.49E+01	2.40E+01	1.45E+01
SP.Syn.Abst.891	4.22E+01	3.95E+01	2.15E+01
SP.Syn.Abst.892	1.92E+01	1.91E+01	1.48E+01
SP.Syn.Abst.893	3.32E+01	3.35E+01	1.11E+01
SP.Syn.Abst.894	1.45E+01	1.50E+01	1.18E+01
SP.Syn.Abst.895	1.78E+01	2.00E+01	1.66E+01
SP.Syn.Abst.896	3.91E+01	3.56E+01	2.17E+01
SP.Syn.Abst.897	5.01E+01	4.63E+01	2.01E+01
SP.Syn.Abst.898	1.19E+01	2.20E+01	1.98E+01
SP.Syn.Abst.899	2.59E+01	2.60E+01	1.23E+01
SP.Syn.Abst.900	1.91E+01	1.84E+01	1.39E+01
SP.Syn.Abst.901	1.64E+01	2.35E+01	2.58E+01
SP.Syn.Abst.902	2.07E+01	2.15E+01	1.24E+01
SP.Syn.Abst.903	2.13E+01	2.38E+01	3.05E+01
SP.Syn.Abst.904	2.23E+01	3.23E+01	3.55E+01
SP.Syn.Abst.905	1.76E+01	1.80E+01	1.36E+01
SP.Syn.Abst.906	5.22E+01	5.25E+01	1.75E+01
SP.Syn.Abst.907	1.43E+01	2.16E+01	2.31E+01
SP.Syn.Abst.908	2.50E+01	2.89E+01	3.14E+01
SP.Syn.Abst.909	3.61E+01	3.55E+01	1.46E+01
SP.Syn.Abst.910	1.95E+01	2.36E+01	2.26E+01
SP.Syn.Abst.911	2.07E+01	1.91E+01	1.05E+01
SP.Syn.Abst.912	5.29E+01	6.19E+01	7.18E+01
SP.Syn.Abst.913	2.31E+01	3.27E+01	3.43E+01
SP.Syn.Abst.914	2.65E+01	2.62E+01	1.60E+01
SP.Syn.Abst.915	3.02E+01	3.02E+01	1.77E+01
SP.Syn.Abst.916	3.84E+01	4.03E+01	1.78E+01
SP.Syn.Abst.917	2.04E+01	2.18E+01	1.63E+01
SP.Syn.Abst.918	1.98E+01	1.99E+01	2.10E+01
SP.Syn.Abst.919	2.58E+01	2.74E+01	2.72E+01
SP.Syn.Abst.920	2.01E+01	2.00E+01	8.62E+00
SP.Syn.Abst.921	3.21E+01	3.04E+01	1.75E+01
SP.Syn.Abst.922	2.33E+01	2.54E+01	2.66E+01
SP.Syn.Abst.923	2.47E+01	3.58E+01	3.69E+01
SP.Syn.Abst.924	2.04E+01	2.26E+01	1.64E+01
SP.Syn.Abst.925	2.27E+01	2.13E+01	1.35E+01
SP.Syn.Abst.926	3.92E+01	3.89E+01	1.54E+01
SP.Syn.Abst.927	4.57E+01	4.58E+01	1.82E+01
SP.Syn.Abst.928	5.81E+01	5.40E+01	2.65E+01
SP.Syn.Abst.929	1.29E+01	1.77E+01	1.95E+01
SP.Syn.Abst.930	4.40E+01	5.05E+01	5.20E+01
SP.Syn.Abst.931	1.79E+01	2.25E+01	2.52E+01
SP.Syn.Abst.932	3.33E+01	3.20E+01	1.77E+01
SP.Syn.Abst.933	2.75E+01	2.67E+01	1.61E+01
SP.Syn.Abst.934	4.20E+01	4.45E+01	1.58E+01
SP.Syn.Abst.935	1.33E+01	1.72E+01	1.95E+01
SP.Syn.Abst.936	5.10E+01	4.36E+01	2.57E+01
SP.Syn.Abst.937	2.24E+01	2.28E+01	1.50E+01
SP.Syn.Abst.938	2.02E+01	2.03E+01	1.75E+01
SP.Syn.Abst.939	1.76E+01	1.80E+01	1.69E+01
SP.Syn.Abst.940	2.74E+01	2.38E+01	1.87E+01
SP.Syn.Abst.941	3.02E+01	2.68E+01	2.61E+01
SP.Syn.Abst.942	1.18E+01	1.67E+01	1.64E+01
SP.Syn.Abst.943	2.18E+01	2.09E+01	2.01E+01
SP.Syn.Abst.944	2.31E+01	2.34E+01	1.79E+01
SP.Syn.Abst.945	1.97E+01	1.97E+01	1.81E+01
SP.Syn.Abst.946	1.44E+01	1.77E+01	1.66E+01
SP.Syn.Abst.947	1.17E+01	1.60E+01	1.81E+01
SP.Syn.Abst.948	3.95E+01	3.19E+01	3.25E+01
SP.Syn.Abst.949	1.42E+01	2.54E+01	2.36E+01
SP.Syn.Abst.950	1.96E+01	2.07E+01	1.51E+01
SP.Syn.Abst.951	2.00E+01	2.41E+01	2.26E+01
SP.Syn.Abst.952	2.93E+01	2.59E+01	1.93E+01
SP.Syn.Abst.953	2.54E+01	2.30E+01	2.47E+01
SP.Syn.Abst.954	2.55E+01	2.48E+01	1.04E+01
SP.Syn.Abst.955	2.58E+01	2.52E+01	1.48E+01
SP.Syn.Abst.956	2.77E+01	2.97E+01	2.82E+01
SP.Syn.Abst.957	2.85E+01	3.14E+01	2.97E+01
SP.Syn.Abst.958	1.68E+01	1.76E+01	1.96E+01
SP.Syn.Abst.959	2.47E+01	2.38E+01	2.87E+01
SP.Syn.Abst.960	1.28E+01	1.47E+01	1.48E+01
SP.Syn.Abst.961	4.28E+01	3.73E+01	2.79E+01
SP.Syn.Abst.962	2.34E+01	2.34E+01	1.83E+01
SP.Syn.Abst.963	3.39E+01	3.30E+01	3.92E+01
SP.Syn.Abst.964	4.41E+01	4.45E+01	3.18E+01
SP.Syn.Abst.965	4.51E+01	4.40E+01	2.26E+01
SP.Syn.Abst.966	2.84E+01	2.75E+01	1.47E+01
SP.Syn.Abst.967	3.84E+01	3.94E+01	1.66E+01
SP.Syn.Abst.968	1.64E+01	1.79E+01	2.01E+01
SP.Syn.Abst.969	2.95E+01	2.70E+01	2.30E+01
SP.Syn.Abst.970	2.66E+01	4.50E+01	4.48E+01
SP.Syn.Abst.971	4.01E+01	3.59E+01	3.11E+01
SP.Syn.Abst.972	9.56E+00	1.59E+01	1.50E+01
SP.Syn.Abst.973	2.59E+01	3.60E+01	3.50E+01
SP.Syn.Abst.974	1.75E+01	1.74E+01	1.57E+01
SP.Syn.Abst.975	1.52E+01	1.64E+01	1.77E+01
SP.Syn.Abst.976	2.55E+01	3.87E+01	4.17E+01
SP.Syn.Abst.977	3.13E+01	3.17E+01	1.62E+01
SP.Syn.Abst.978	2.16E+01	2.45E+01	2.72E+01
SP.Syn.Abst.979	3.93E+01	3.67E+01	3.10E+01
SP.Syn.Abst.980	2.99E+01	3.02E+01	1.69E+01
SP.Syn.Abst.981	1.85E+01	2.44E+01	3.03E+01
SP.Syn.Abst.982	3.15E+01	2.82E+01	1.83E+01
SP.Syn.Abst.983	3.87E+01	3.32E+01	2.13E+01
SP.Syn.Abst.984	2.18E+01	2.26E+01	2.40E+01
SP.Syn.Abst.985	4.06E+01	3.73E+01	1.60E+01
SP.Syn.Abst.986	2.54E+01	2.43E+01	1.79E+01
SP.Syn.Abst.987	3.72E+01	3.64E+01	1.84E+01
SP.Syn.Abst.988	2.31E+01	2.08E+01	2.29E+01
SP.Syn.Abst.989	1.26E+01	1.14E+01	1.11E+01
SP.Syn.Abst.990	3.31E+01	2.62E+01	2.72E+01
SP.Syn.Abst.991	2.35E+01	2.40E+01	2.59E+01
SP.Syn.Abst.992	1.40E+01	1.51E+01	1.48E+01
SP.Syn.Abst.993	1.99E+01	2.60E+01	2.46E+01
SP.Syn.Abst.994	2.63E+01	2.54E+01	2.10E+01
SP.Syn.Abst.995	2.11E+01	2.30E+01	1.47E+01
SP.Syn.Abst.996	3.34E+01	3.02E+01	2.01E+01
SP.Syn.Abst.997	1.83E+01	1.91E+01	2.19E+01
SP.Syn.Abst.998	1.87E+01	2.29E+01	1.88E+01
SP.Syn.Abst.999	2.31E+01	3.89E+01	3.82E+01
SP.Syn.Abst.1000	2.81E+01	2.86E+01	1.87E+01
